narrosa02,1981-07-12
spearna01,1985-05-03
garcino01,1973-07-23
valenjo02,1967-02-18
vaughmo01,1967-12-15
stanlmi02,1963-06-25
jeffere01,1968-09-25
fryeje01,1966-08-31
naehrti01,1967-02-01
cordewi01,1971-10-03
pemberu01,1969-12-17
hattesc01,1969-12-14
haselbi01,1966-05-25
o'leatr01,1969-08-04
macksh01,1963-12-07
braggda01,1969-09-07
gordoto01,1967-11-18
eshelva01,1969-05-22
henrybu01,1968-10-07
mahompa01,1970-08-09
slocuhe01,1966-06-07
erstada01,1974-06-04
alicelu01,1965-07-29
edmonji01,1970-06-27
salmoti01,1968-08-24
hollida01,1966-05-25
anderga01,1972-06-30
murraed02,1956-02-24
palmeor01,1969-01-19
leyriji01,1963-12-27
fabrejo01,1970-03-13
disarga01,1967-11-19
langsma01,1960-08-20
jamesmi01,1967-08-15
mcelrch01,1967-10-01
percitr01,1969-08-09
harripe01,1972-09-23
wakefti01,1966-08-02
hammoch01,1966-01-21
trlicri01,1969-04-26
dicksja01,1973-03-30
grissma02,1967-04-17
seitzke01,1962-03-26
thomeji01,1970-08-27
francju01,1958-08-23
vizquom01,1967-04-24
willima04,1965-11-28
mitchke01,1962-01-13
ramirma02,1972-05-30
justida01,1966-04-14
curtich01,1968-11-06
alomasa02,1966-06-18
fernato01,1962-06-30
colonba01,1973-05-24
lopezal02,1971-08-18
assenpa01,1960-12-10
plunker01,1963-09-03
shueypa01,1970-09-16
greento02,1971-05-08
howelja02,1961-08-18
watsoal01,1970-11-18
sprinde01,1965-02-12
holtzmi01,1972-10-10
gilesbr02,1971-01-20
ogeach01,1970-11-09
klinest02,1972-08-22
jacksmi02,1964-12-22
hasegsh01,1968-08-01
mcdowja01,1966-01-16
gubicma01,1962-08-14
jeterde01,1974-06-26
hayesch01,1965-05-29
willibe02,1968-09-13
fieldce01,1963-09-21
martiti02,1967-12-07
whitema01,1966-11-25
o'neipa01,1963-02-25
girarjo01,1964-10-14
kellypa03,1967-10-14
boggswa01,1958-06-15
sojolu01,1965-01-03
pettian01,1972-06-15
lloydgr01,1967-04-09
boehrbr01,1969-01-08
stantmi02,1967-06-02
riverma01,1969-11-29
grebecr01,1964-12-29
duncama01,1963-03-13
rogerke01,1964-11-10
weathda01,1969-09-25
nelsoje01,1966-11-17
posadjo01,1971-08-17
wellsda01,1963-05-20
nixonot01,1959-01-09
garcica01,1967-10-15
merceor01,1966-11-02
cartejo01,1960-03-07
spraged02,1967-07-25
samueju01,1960-12-09
delgaca01,1972-06-25
crespfe01,1973-03-05
brumfja01,1965-05-27
o'brich01,1960-05-01
gonzaal01,1973-04-08
williwo02,1966-08-19
plesada01,1962-02-04
timlimi01,1966-03-10
spoljpa01,1970-09-24
finlech01,1962-11-26
delucri01,1964-10-07
perezro01,1969-06-04
greensh01,1972-11-10
britoti01,1972-05-28
hansoer01,1965-05-18
quantpa01,1968-11-03
ariasge01,1972-03-12
mosquju01,1972-01-29
hentgpa01,1968-11-13
flenehu01,1969-02-25
huntebr02,1971-03-05
easleda01,1969-11-11
frymatr01,1969-03-25
