,Name,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,birthday,ages
40997,anderty01,6.1,6,1,1,0,6,0,1.42,25,92,60,32,11,17,11,8,5,0,63,0.345,1.15,3.3,2016-06-12,1.0,,-252.5229295
61913,anderty01,5.2,4,2,2,1,4,0,2.25,21,102,61,35,7,19,11,5,3,0,56,0.281,0.98,2.4,2016-06-19,1.0,,-252.5229295
41011,anderty01,6.0,8,3,2,2,6,1,2.66,27,106,78,48,11,19,10,8,6,0,50,-0.007,0.85,0.5,2016-06-29,1.0,,-252.5229295
107062,anderty01,6.0,4,3,3,1,2,2,3.03,22,87,51,35,6,10,13,6,1,0,53,-0.114,0.67,-0.1,2016-07-04,1.0,,-252.5229295
41017,anderty01,6.0,9,2,2,0,6,1,3.03,27,105,70,47,11,12,11,10,5,0,52,0.134,0.94,1.6,2016-07-09,1.0,,-252.5229295
41021,anderty01,6.1,5,4,4,3,3,0,3.43,27,95,62,37,13,12,12,8,3,0,47,-0.042,0.96,-0.6,2016-07-18,1.0,,-252.5229295
41031,anderty01,6.0,8,3,3,1,6,0,3.56,26,91,60,40,7,13,8,11,8,0,49,0.028,1.24,0.5,2016-07-23,1.0,,-252.5229295
81393,anderty01,6.0,7,1,1,0,5,0,3.33,24,92,70,44,5,21,10,9,3,0,59,0.163,0.89,1.9,2016-07-28,1.0,,-252.5229295
41037,anderty01,7.0,6,2,2,2,6,1,3.25,27,95,66,34,12,20,9,10,7,0,61,0.083,0.67,2.1,2016-08-03,1.0,,-252.5229295
41047,anderty01,7.0,2,1,1,3,5,1,3.04,25,95,61,36,8,17,10,7,2,0,71,0.351,1.06,3.2,2016-08-08,1.0,,-252.5229295
66230,anderty01,5.0,3,2,2,2,10,1,3.69,21,90,61,28,19,14,2,7,4,0,61,-0.006,1.16,0.5,2016-08-24,1.0,,-252.5229295
41061,anderty01,6.1,6,0,0,2,5,0,3.43,26,97,64,40,10,14,10,9,5,0,64,0.316,1.2,3.1,2016-08-31,1.0,,-252.5229295
41073,anderty01,7.1,6,2,2,2,2,1,3.35,27,101,67,45,5,17,9,14,8,0,58,0.182,1.39,2.2,2016-09-06,1.0,,-252.5229295
124929,bauertr03,6.1,4,0,0,2,4,0,3.88,26,92,57,34,6,17,12,8,4,0,67,0.326,1.18,2.8,2016-08-09,1.0,,-252.5229295
2188,beltrom01,4.0,5,3,3,4,6,1,6.75,21,85,48,22,8,18,3,7,2,0,42,-0.119,1.14,-1.1,2010-06-30,1.0,,-252.5229295
117737,beltrom01,3.0,4,4,4,3,3,2,9.0,17,72,37,20,7,10,3,7,1,0,35,-0.223,1.0,-2.4,2010-07-05,1.0,,-252.5229295
48241,buentja01,3.0,5,4,3,3,1,0,9.0,18,62,35,23,3,9,7,6,2,0,33,-0.257,1.05,-2.6,2011-05-22,1.0,,-252.5229295
36501,carrejo01,6.0,6,4,4,4,3,2,6.0,26,97,57,29,5,23,10,9,5,0,43,-0.241,0.9,-1.2,2012-04-08,1.0,,-252.5229295
65534,carrejo01,3.0,5,5,5,2,3,3,6.6,15,67,41,20,10,11,1,9,3,0,30,-0.358,0.58,-3.5,2012-06-20,1.0,,-252.5229295
41049,chatwty03,6.2,5,2,2,0,8,0,3.58,25,108,64,35,10,19,10,7,2,0,64,0.212,0.73,1.9,2016-08-09,1.0,,-252.5229295
55937,cramebo01,5.1,4,1,1,1,4,1,1.69,19,91,59,34,9,16,8,6,0,0,59,0.213,1.09,1.7,2010-09-13,1.0,,-252.5229295
69580,cramebo01,5.2,5,2,2,3,2,2,2.45,24,87,56,31,3,22,8,11,3,0,50,0.154,0.78,0.8,2010-09-19,1.0,,-252.5229295
84759,cramebo01,6.0,8,4,4,0,3,2,3.71,25,71,47,30,5,12,10,12,7,0,43,-0.127,0.87,-0.7,2010-09-24,1.0,,-252.5229295
2270,cramebo01,6.2,3,1,1,2,4,0,3.04,25,118,78,49,7,22,13,6,1,0,66,0.25,1.02,2.1,2010-09-29,1.0,,-252.5229295
