,Unnamed: 0,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,birthday,ages,targets,NextGame,DaysRest
124371,2346,zimmejo02,8.0,4,4,1,0,1,4,0,2.63,28,93,60,40,9,11,12,11,1,0,75,0.213,0.81,2.7,2011-06-29,1.0,1986-05-23,21.6865160849,0.0,2011-07-04,5
70207,82169,mcdonbe01,5.1,3,3,2,2,4,4,0,4.22,22,96,55,23,2,30,9,5,3,0,54,0.247,1.14,2.3,1994-07-21,1.0,1967-11-24,23.0280629706,0.0,1994-07-26,5
111330,103601,torresa01,2.0,5,5,6,6,3,0,3,12.6,13,48,28,16,1,11,3,7,5,0,19,-0.354,0.74,-5.0,1995-04-30,1.0,1972-03-11,19.9863107461,0.0,1995-06-08,39
71258,89463,medlekr01,5.1,8,8,7,6,3,5,1,3.45,27,90,61,34,13,14,9,11,5,0,28,-0.268,0.64,-3.7,2013-07-07,1.0,1985-10-07,23.9726214921,0.0,2013-07-12,5
14295,93723,burnea.01,6.0,5,5,3,3,4,4,1,2.72,28,97,60,37,5,18,11,9,4,0,50,-0.176,1.14,-0.5,2013-05-29,1.0,1977-01-03,31.446954141,0.0,2013-06-03,5
39177,53442,gubicma01,8.0,6,6,2,2,1,5,1,4.01,29,104,70,48,9,13,15,8,2,0,66,0.352,1.01,2.6,1995-06-11,1.0,1962-08-14,28.3586584531,0.0,1995-06-15,4
45422,111065,hendrky01,6.0,5,5,2,2,1,3,0,1.91,25,89,58,32,7,19,8,12,5,0,56,0.04,0.98,0.7,2014-08-29,1.0,1989-12-07,21.3607118412,0.0,2014-09-03,5
29899,99805,eyresc01,5.0,5,5,5,4,3,5,4,4.84,24,106,66,36,6,24,5,11,2,0,41,-0.208,0.73,-2.2,1998-05-05,1.0,1972-05-30,22.4010951403,0.0,1998-05-12,7
118485,118,wellsda01,3.0,10,10,11,11,3,3,2,4.13,23,75,45,27,3,15,7,9,4,0,-5,-0.495,0.5,-9.3,1997-08-19,1.0,1963-05-20,29.5906913073,0.0,1997-08-24,5
65023,9307,lowede01,7.1,5,5,2,2,2,2,0,3.45,28,97,59,38,3,18,18,6,1,0,60,0.259,1.11,1.7,2009-05-23,1.0,1973-06-01,31.0800821355,0.0,2009-05-28,5
105276,51298,snellia01,3.0,6,6,5,5,3,6,1,6.1,18,85,52,27,9,16,2,7,2,0,30,-0.306,1.21,-3.5,2008-07-23,1.0,1981-10-30,23.0937713895,0.0,2008-07-28,5
114022,44279,verlaju01,6.2,4,4,0,0,4,4,0,3.88,29,119,73,49,9,15,13,7,1,0,66,0.315,0.83,3.1,2010-05-13,1.0,1983-02-20,23.5208761123,0.0,2010-05-19,6
72963,80619,milonto01,5.2,3,3,1,1,3,4,0,4.6,21,73,46,24,8,14,6,8,3,0,60,0.3,1.09,2.4,2011-09-15,1.0,1987-02-16,21.234770705,0.0,2011-09-20,5
72304,111191,millesh01,7.1,2,2,1,1,2,4,0,2.27,26,102,65,40,10,15,9,10,1,0,72,0.285,1.21,2.6,2015-07-25,1.0,1990-10-10,21.4154688569,0.0,2015-07-30,5
86305,52130,perezma02,9.0,4,4,1,1,2,8,1,3.44,32,115,80,43,8,29,12,9,3,0,81,0.522,0.99,3.3,2013-08-11,1.0,1991-04-04,19.3127994524,0.0,2013-08-17,6
45828,96831,henslcl01,5.1,5,5,4,4,3,3,0,6.28,23,78,48,28,4,16,10,7,3,0,42,0.106,0.94,0.0,2006-04-23,1.0,1979-08-31,23.0198494182,0.0,2006-04-29,6
30743,47010,fernaja01,5.1,3,3,1,1,1,4,0,1.69,20,76,47,25,6,16,4,10,3,0,61,0.076,1.02,0.9,2003-08-03,1.0,1972-02-02,27.2142368241,0.0,2003-08-09,6
498,58724,adamste01,7.0,6,6,2,2,0,7,1,4.73,27,99,63,35,12,16,13,7,4,0,64,0.213,1.01,1.4,2001-07-27,1.0,1973-03-06,24.5284052019,0.0,2001-08-01,5
16278,36024,carmofa01,6.0,8,8,5,4,2,7,1,7.36,27,104,66,34,10,22,14,4,1,0,43,-0.15,0.89,-1.3,2009-04-24,1.0,1980-08-30,24.7501711157,0.0,2009-04-29,5
57674,11573,krivdri01,5.2,5,5,3,3,3,3,1,5.06,24,89,53,35,7,11,9,9,3,0,47,0.057,0.91,1.1,1996-09-11,1.0,1970-01-19,23.0198494182,0.0,1996-09-20,9
50375,36094,huffda01,6.0,8,8,3,3,1,4,0,6.06,27,101,65,37,7,21,10,12,10,0,47,-0.077,0.89,0.1,2009-07-03,1.0,1984-08-22,21.4784394251,0.0,2009-07-09,6
113015,8500,vargacl01,6.0,4,4,4,4,4,2,2,5.25,27,104,61,42,6,13,5,15,3,0,46,-0.061,0.93,-0.9,2004-06-02,1.0,1978-06-19,22.4229979466,0.0,2004-06-12,10
58636,19410,langsma01,5.0,7,7,4,4,1,3,1,12.38,23,83,51,29,9,13,7,12,5,0,39,-0.135,1.05,-1.6,1992-04-12,1.0,1960-08-20,27.3401779603,0.0,1992-04-26,14
122667,28366,woodtr01,6.0,4,4,1,0,3,5,0,4.86,25,93,57,41,2,14,6,12,4,0,64,0.175,1.15,1.7,2014-08-10,1.0,1987-02-06,23.7645448323,0.0,2014-08-15,5
104085,108176,smilejo01,9.0,5,5,1,1,1,7,0,3.64,30,108,78,51,13,14,8,14,5,0,79,0.502,1.48,3.7,1996-09-27,1.0,1965-03-17,27.241615332,0.0,1997-04-01,186
45936,119539,hentgpa01,5.2,10,10,6,6,3,4,1,4.26,30,102,63,43,4,16,10,13,8,0,26,-0.106,0.88,-3.4,1995-05-09,1.0,1968-11-13,22.8802190281,0.0,1995-05-14,5
98863,63384,sanchje01,7.0,4,4,2,2,2,6,1,5.92,26,106,67,30,17,20,8,10,2,0,65,0.079,0.48,1.8,1999-05-14,1.0,1974-10-11,21.2429842574,0.0,1999-05-19,5
124635,43218,zitoba01,8.0,6,6,3,0,1,3,1,3.14,31,117,78,54,12,12,14,13,5,0,66,-0.001,0.94,1.1,2003-08-07,1.0,1978-05-13,21.8015058179,0.0,2003-08-12,5
75672,1553,moseldu01,5.0,10,10,4,4,0,2,2,7.2,24,92,56,35,5,16,5,17,2,0,33,-0.104,1.18,-1.2,2006-07-17,1.0,1981-12-26,21.2156057495,0.0,2006-10-01,76
92313,77177,reuscri01,6.2,4,4,2,2,7,3,0,4.6,32,114,60,37,4,19,10,12,3,0,54,-0.012,1.53,0.5,1990-05-08,1.0,1949-05-16,35.4031485284,0.0,1990-05-13,5
36715,105670,gonzaed01,6.0,3,3,1,1,1,1,0,4.76,20,72,51,36,4,11,8,10,2,0,62,0.234,1.05,2.2,2007-09-11,1.0,1983-02-23,21.2073921971,0.0,2007-09-16,5
28951,21163,ericksc01,5.0,12,12,3,3,4,1,0,5.16,28,106,56,36,3,17,14,9,5,0,28,0.015,1.5,-0.1,1996-08-11,1.0,1968-02-02,24.643394935,0.0,1996-08-16,5
91776,61929,reedco01,4.2,7,7,4,3,2,7,1,8.39,23,98,60,29,11,20,10,4,3,0,41,-0.325,1.2,-2.0,2016-07-10,1.0,1993-04-15,20.0739219713,0.0,2016-07-19,9
107024,2756,straida01,6.2,7,7,3,1,2,5,0,3.96,28,100,65,39,14,12,13,8,3,0,55,-0.064,0.98,0.1,2013-09-25,1.0,1988-12-01,21.440109514,0.0,2014-04-05,192
39992,11652,guzmaju01,3.0,1,1,1,0,4,2,0,4.56,14,55,29,20,3,6,5,3,0,0,53,0.051,0.97,0.6,1997-06-29,1.0,1966-10-28,26.4969199179,0.0,1997-07-04,5
100790,48834,schilcu01,8.0,6,6,3,3,2,3,0,3.38,30,109,71,45,7,19,7,18,8,0,59,0.243,1.04,1.2,1993-04-06,1.0,1966-11-14,22.8008213552,0.0,1993-04-11,5
28023,89956,eflinza01,9.0,6,6,1,1,0,6,1,4.3,29,92,65,36,13,16,11,12,6,0,77,0.346,0.78,3.4,2016-07-05,1.0,1994-04-08,19.2169746749,0.0,2016-07-10,5
5609,103086,barnebr01,4.1,6,6,4,4,3,4,1,4.94,21,82,48,21,9,18,3,11,4,0,36,-0.254,1.34,-2.3,1991-07-29,1.0,1967-03-25,21.0321697467,0.0,1991-08-03,5
3217,31798,arroybr01,9.0,5,5,1,1,1,3,0,5.12,31,92,58,35,3,20,13,14,7,0,75,0.295,0.82,3.5,2009-05-27,1.0,1977-02-24,27.8631074606,0.0,2009-06-02,6
108110,98912,swanru01,5.0,6,6,7,3,3,3,1,5.0,24,104,66,42,13,11,11,7,5,0,35,-0.442,0.84,-4.6,1992-05-04,1.0,1964-01-03,24.4791238877,0.0,1992-05-09,5
67809,70951,martide01,7.0,7,7,1,1,1,3,0,2.91,28,98,63,42,5,16,14,10,5,0,61,0.283,0.99,2.0,1992-08-03,1.0,1954-05-14,33.0239561944,0.0,1992-08-08,5
119468,86454,westda01,3.1,5,5,5,4,6,2,0,3.09,21,86,44,27,7,10,3,10,3,0,28,-0.303,0.88,-3.8,1994-07-20,1.0,1964-09-01,25.8151950719,0.0,1994-07-26,6
63992,68711,lohseky01,6.0,7,7,3,3,3,2,0,4.42,26,106,67,43,4,20,8,13,6,0,45,-0.045,1.24,0.2,2005-07-14,1.0,1978-10-04,23.1321013005,0.0,2005-07-19,5
2061,115512,appieke01,2.2,6,6,6,6,3,1,2,3.32,16,60,33,19,4,10,3,9,4,0,20,-0.321,0.5,-4.6,1996-08-18,1.0,1967-12-06,24.7967145791,0.0,1996-08-23,5
88042,53074,pichahi01,7.0,6,6,2,2,1,3,1,3.63,27,93,57,35,9,13,7,15,3,0,59,0.199,0.5,1.4,1992-08-16,1.0,1969-08-22,19.8576317591,0.0,1992-08-22,6
12132,107608,brownto05,2.1,10,10,8,8,1,3,3,30.86,17,77,47,24,6,17,3,10,4,0,7,-0.459,0.63,-6.8,1993-04-09,1.0,1960-04-28,28.4654346338,0.0,1993-04-14,5
101356,26331,schmija01,5.0,7,7,4,4,2,3,1,7.2,25,96,60,34,12,14,7,13,4,0,38,-0.226,0.74,-1.6,2002-04-24,1.0,1973-01-29,25.2539356605,0.0,2002-04-29,5
4964,69385,bakersc02,9.0,2,2,0,0,0,5,0,4.54,30,94,65,38,10,17,8,16,2,0,88,0.212,0.45,4.8,2009-08-14,1.0,1981-09-19,24.1067761807,0.0,2009-08-19,5
9126,117342,blackni01,6.0,11,11,5,5,1,3,0,3.45,27,90,54,32,3,19,9,14,6,0,32,-0.068,1.23,-1.8,2008-04-25,1.0,1982-02-24,22.6064339493,0.0,2008-04-30,5
51270,102136,iwakuhi01,5.0,7,7,4,4,3,0,1,5.13,23,85,52,39,3,10,14,6,0,0,34,-0.201,0.83,-1.7,2012-07-15,1.0,1981-04-12,27.0061601643,0.0,2012-07-20,5
